Date,Open,High,Low,Close,Adj Close,Volume,Label
4/3/2020,21285.92969,21447.81055,20863.08984,21052.5293,21052.5293,450010000,0
4/2/2020,20819.46094,21477.76953,20735.01953,21413.43945,21413.43945,529540000,1
4/1/2020,21227.38086,21487.24023,20784.42969,20943.50977,20943.50977,506680000,0
3/31/2020,22208.41992,22480.36914,21852.08008,21917.16016,21917.16016,571210000,0
3/30/2020,21678.2207,22378.08984,21522.08008,22327.48047,22327.48047,545540000,1
3/27/2020,21898.4707,22327.57031,21469.26953,21636.7793,21636.7793,588830000,0
3/26/2020,21468.38086,22595.06055,21427.09961,22552.16992,22552.16992,705180000,1
3/25/2020,21050.33984,22019.92969,20538.33984,21200.55078,21200.55078,796320000,1
3/24/2020,19722.18945,20737.69922,19649.25,20704.91016,20704.91016,799340000,1
3/23/2020,19028.35938,19121.00977,18213.65039,18591.92969,18591.92969,787970000,0
3/20/2020,20253.15039,20531.25977,19094.26953,19173.98047,19173.98047,872290000,0
3/19/2020,19830.00977,20442.63086,19177.13086,20087.18945,20087.18945,780300000,1
3/18/2020,20188.68945,20489.33008,18917.46094,19898.91992,19898.91992,871360000,0
3/17/2020,20487.05078,21379.34961,19882.25977,21237.38086,21237.38086,793060000,1
3/16/2020,20917.5293,21768.2793,20116.46094,20188.51953,20188.51953,770130000,0
3/13/2020,21973.82031,23189.75977,21285.36914,23185.61914,23185.61914,843080000,1
3/12/2020,22184.71094,22837.94922,21154.46094,21200.61914,21200.61914,908260000,0
3/11/2020,24604.63086,24604.63086,23328.32031,23553.2207,23553.2207,663960000,0
3/10/2020,24453,25020.99023,23690.33984,25018.16016,25018.16016,654860000,1
3/9/2020,24992.35938,24992.35938,23706.07031,23851.01953,23851.01953,750430000,0
3/6/2020,25457.21094,25994.38086,25226.61914,25864.7793,25864.7793,599780000,1
3/5/2020,26671.91992,26671.91992,25943.33008,26121.2793,26121.2793,477370000,0
3/4/2020,26383.67969,27102.33984,26286.31055,27090.85938,27090.85938,457590000,1
3/3/2020,26762.4707,27084.58984,25706.2793,25917.41016,25917.41016,647080000,0
3/2/2020,25590.50977,26706.16992,25391.96094,26703.32031,26703.32031,637200000,1
2/28/2020,25270.83008,25494.24023,24681.00977,25409.35938,25409.35938,915990000,1
2/27/2020,26526,26775.31055,25752.82031,25766.64063,25766.64063,664980000,0
2/26/2020,27159.46094,27542.7793,26890.9707,26957.58984,26957.58984,472450000,0
2/25/2020,28037.65039,28149.19922,26997.61914,27081.35938,27081.35938,513270000,0
2/24/2020,28402.92969,28402.92969,27912.43945,27960.80078,27960.80078,452580000,0
2/21/2020,29146.5293,29146.5293,28892.69922,28992.41016,28992.41016,311210000,0
